n,time
5000,0.03826726035511232
10000,0.07554295747642543
15000,0.11572164710761336
20000,0.1602943928333748
25000,0.20285872470033697
30000,0.24363865924466852
35000,0.29099153050894017
40000,0.33688546805027375
45000,0.37759697788900254
50000,0.41876247077446926
