n,time
5000,0.043518856510119865
10000,0.06682237749672082
15000,0.09306012835879775
20000,0.1545395775934673
25000,0.19810648014686927
30000,0.2682783957322023
35000,0.3010751008743786
40000,0.3030585248406969
45000,0.28626829208067345
50000,0.3949466569920081
