n,time
5000,0.04258099179529987
10000,0.06981149588606665
15000,0.09814884396458486
20000,0.11368229338222591
25000,0.16445699492411828
30000,0.1914179651739687
35000,0.29178406709903965
40000,0.2402607100282997
45000,0.2665802730386228
50000,0.329306093160388
