n,time
5000,1.2121505022224637
10000,4.793826544561292
15000,10.832324961421856
20000,20.374911605692812
25000,31.857700560993337
30000,46.334768467158675
35000,62.12350822985585
40000,80.7028652696722
45000,102.77176329573842
50000,132.69763301093394
